,marketLineId,isBlurred,marketId,marketSourceId,points,price,americanPrice,sourcePrice,sourceFormat,alternateNumber,statusId,sequenceNumber,overrideType,includePeg,stn,cr,ib,tm,createdOn,createdBy,modifiedOn,modifiedBy,id,0
si1:ms1:an0,67201077.0,False,667387.0,1.0,0.0,155.0,155.0,2.55,2.0,0.0,1.0,1670972133595.0,,True,0.0,155.0,True,,2022-07-26T14:41:38.689791,-25.0,2022-12-13T22:55:35.712982,-25.0,,
si1:ms2:an0,211901186.0,False,667387.0,2.0,0.0,154.0,154.0,154.0,1.0,0.0,1.0,1670877576528.0,,True,0.0,154.0,True,,2022-12-06T21:40:23.252531,-20.0,2022-12-12T20:39:37.727211,-20.0,,
si1:ms3:an0,218084313.0,False,667387.0,3.0,,160.0,160.0,160.0,1.0,0.0,1.0,1670871548585.0,,True,0.0,160.0,True,,2022-12-12T00:39:04.252027,-11.0,2022-12-12T18:59:10.46568,-11.0,,
si1:ms4:an0,218188894.0,False,667387.0,4.0,,150.0,150.0,2.5,2.0,0.0,1.0,1670947361814.0,,True,0.0,150.0,True,,2022-12-12T01:40:39.372174,-2.0,2022-12-13T16:02:49.588795,-2.0,,
si1:ms6:an0,218425121.0,True,667387.0,6.0,,-110.0,-110.0,164.0,1.0,0.0,1.0,1670885662536.0,,True,,,True,,2022-12-12T15:03:45.405059,-16.0,2022-12-12T22:54:24.074258,-16.0,,
si1:ms7:an0,218077416.0,True,667387.0,7.0,,-110.0,-110.0,159.0,1.0,0.0,1.0,1670971675705.0,,True,,,True,,2022-12-12T00:35:49.440585,-11.0,2022-12-13T22:47:57.0456,-11.0,,
si1:ms8:an0,218378610.0,False,667387.0,8.0,,160.0,160.0,160.0,1.0,0.0,1.0,1670967595229.0,,True,0.0,160.0,True,,2022-12-12T13:20:08.757582,-6.0,2022-12-13T21:39:55.677285,-6.0,,
si1:ms9:an0,218219363.0,False,667387.0,9.0,,160.0,160.0,160.0,1.0,0.0,1.0,1670970143838.0,,True,0.0,160.0,True,,2022-12-12T02:13:09.017592,-11.0,2022-12-13T22:22:25.637405,-11.0,,
si1:ms10:an0,213805759.0,False,667387.0,10.0,,160.0,160.0,160.0,1.0,0.0,1.0,1670943066176.0,,True,0.0,160.0,True,,2022-12-08T07:33:30.265502,-11.0,2022-12-13T14:51:18.014962,-11.0,,
si1:ms11:an0,218214440.0,True,667387.0,11.0,,-110.0,-110.0,2.46913,2.0,0.0,1.0,1670944793487.0,,True,,,False,,2022-12-12T02:07:19.284736,-5.0,2022-12-13T15:19:54.085415,-5.0,,
si1:ms17:an0,214475844.0,False,667387.0,17.0,,160.0,160.0,2.6,2.0,0.0,1.0,1670865151955.0,,True,0.0,160.0,True,,2022-12-09T15:36:37.408033,-2.0,2022-12-12T17:12:42.529976,-2.0,,
si1:ms20:an0,211908730.0,False,667387.0,20.0,,158.0,158.0,2.58,2.0,0.0,1.0,1670900282130.0,,True,0.0,158.0,True,,2022-12-06T22:02:10.762709,-2.0,2022-12-13T02:58:15.235754,-2.0,,
si1:ms21:an0,219756662.0,False,667387.0,21.0,,140.0,140.0,140.0,1.0,0.0,1.0,1670907130698.0,,True,0.0,140.0,True,,2022-12-13T04:52:13.998804,-16.0,2022-12-13T04:52:13.998804,-16.0,,
si1:ms27:an0,214476427.0,False,667387.0,27.0,,160.0,160.0,2.6,2.0,0.0,1.0,1670865162984.0,,True,0.0,160.0,True,,2022-12-09T15:37:53.459985,-2.0,2022-12-12T17:12:48.789481,-2.0,,
si1:ms28:an0,218469232.0,False,667387.0,28.0,0.0,155.0,155.0,2.55,2.0,0.0,1.0,1670940788576.0,,True,0.0,155.0,True,,2022-12-12T16:55:42.230373,-29.0,2022-12-13T14:13:09.287414,-29.0,,
si1:ms31:an0,214474778.0,False,667387.0,31.0,,155.0,155.0,155.0,1.0,0.0,1.0,1670941123793.0,,True,0.0,155.0,True,,2022-12-09T15:34:27.739002,-11.0,2022-12-13T14:18:45.828669,-11.0,,
si1:ms33:an0,218570289.0,False,667387.0,33.0,,148.0,148.0,2.48,2.0,0.0,1.0,1670954011130.0,,True,0.0,148.0,True,,2022-12-12T19:24:02.675777,-2.0,2022-12-13T17:53:42.110746,-2.0,,
si1:ms49:an0,218077510.0,True,667387.0,49.0,,-110.0,-110.0,0.375153770528945,4.0,0.0,1.0,1670971677329.0,,True,,,False,,2022-12-12T00:35:51.348459,-19.0,2022-12-13T22:47:57.780996,-19.0,,
si1:ms53:an0,218219618.0,False,667387.0,53.0,,160.0,160.0,160.0,1.0,0.0,1.0,1670970077954.0,,True,0.0,160.0,True,,2022-12-12T02:13:38.173541,-11.0,2022-12-13T22:21:20.07063,-11.0,,
si1:ms54:an0,218219364.0,False,667387.0,54.0,,160.0,160.0,160.0,1.0,0.0,1.0,1670970086937.0,,True,0.0,160.0,True,,2022-12-12T02:13:09.034482,-11.0,2022-12-13T22:21:28.972913,-11.0,,
si1:ms55:an0,219898402.0,False,667387.0,55.0,,160.0,160.0,160.0,1.0,0.0,1.0,1670942958037.0,,True,0.0,160.0,True,,2022-12-13T14:49:20.085026,-11.0,2022-12-13T14:49:20.085026,-11.0,,
si1:ms56:an0,213850353.0,False,667387.0,56.0,,165.0,165.0,165.0,1.0,0.0,1.0,1670853971509.0,,True,0.0,165.0,True,,2022-12-08T13:56:57.818322,-11.0,2022-12-12T14:06:23.992467,-11.0,,
si1:ms59:an0,218400183.0,False,667387.0,59.0,0.0,160.0,160.0,160.0,1.0,0.0,1.0,1670872059201.0,,True,0.0,160.0,True,,2022-12-12T14:10:34.430134,-42.0,2022-12-12T19:07:43.996123,-42.0,,
si1:ms60:an0,218317001.0,False,667387.0,60.0,,150.0,150.0,2.5,2.0,0.0,1.0,1670972605020.0,,True,0.0,150.0,True,,2022-12-12T06:10:04.455562,-45.0,2022-12-13T23:03:26.328437,-45.0,,
si1:ms61:an0,,,,,,,,,,,,,,,,,,,,,,,,
si1:ms62:an0,,,,,,,,,,,,,,,,,,,,,,,,
si1:ms66:an0,218187965.0,False,667387.0,66.0,0.0,170.0,170.0,170.0,1.0,0.0,1.0,1670985785016.0,,True,0.0,170.0,True,,2022-12-12T01:40:04.596624,-62.0,2022-12-14T02:43:05.436868,-62.0,,
si1:ms67:an0,218395888.0,False,667387.0,67.0,,167.0,167.0,375000.0,5.0,0.0,1.0,1670972072154.0,,True,0.0,167.0,True,,2022-12-12T14:00:13.306084,-65.0,2022-12-13T22:54:36.600653,-65.0,,
si0:ms1:an0,67201079.0,False,667388.0,1.0,0.0,-180.0,-180.0,1.55555556,2.0,0.0,1.0,1670972133595.0,,True,0.0,-180.0,True,,2022-07-26T14:41:39.090992,-25.0,2022-12-13T22:55:35.728107,-25.0,,
si0:ms2:an0,211901191.0,False,667388.0,2.0,0.0,-184.0,-184.0,-184.0,1.0,0.0,1.0,1670877576528.0,,True,0.0,-184.0,True,,2022-12-06T21:40:23.276807,-20.0,2022-12-12T20:39:37.769097,-20.0,,
si0:ms3:an0,218084314.0,False,667388.0,3.0,,-190.0,-190.0,-190.0,1.0,0.0,1.0,1670871548585.0,,True,0.0,-190.0,True,,2022-12-12T00:39:04.265627,-11.0,2022-12-12T18:59:10.482093,-11.0,,
