,marketLineId,isBlurred,marketId,marketSourceId,points,price,americanPrice,sourcePrice,sourceFormat,alternateNumber,statusId,sequenceNumber,overrideType,includePeg,stn,cr,ib,tm,createdOn,createdBy,modifiedOn,modifiedBy,id,0
si0:ms4:an0,218188898.0,False,667388.0,4.0,,-185.0,-185.0,1.54054,2.0,0.0,1.0,1670947361814.0,,True,0.0,-185.0,True,,2022-12-12T01:40:39.38957,-2.0,2022-12-13T16:02:49.613047,-2.0,,
si0:ms6:an0,218425122.0,True,667388.0,6.0,,-110.0,-110.0,-186.0,1.0,0.0,1.0,1670885662536.0,,True,,,True,,2022-12-12T15:03:45.428427,-16.0,2022-12-12T22:54:24.097216,-16.0,,
si0:ms7:an0,218077417.0,True,667388.0,7.0,,-110.0,-110.0,-180.0,1.0,0.0,1.0,1670971675705.0,,True,,,True,,2022-12-12T00:35:49.456766,-11.0,2022-12-13T22:47:57.060584,-11.0,,
si0:ms8:an0,218378612.0,False,667388.0,8.0,,-185.0,-185.0,-185.0,1.0,0.0,1.0,1670967595229.0,,True,0.0,-185.0,True,,2022-12-12T13:20:08.769275,-6.0,2022-12-13T21:39:55.690222,-6.0,,
si0:ms9:an0,218219365.0,False,667388.0,9.0,,-180.0,-180.0,-180.0,1.0,0.0,1.0,1670970143838.0,,True,0.0,-180.0,True,,2022-12-12T02:13:09.050093,-11.0,2022-12-13T22:22:25.6516,-11.0,,
si0:ms10:an0,213805760.0,False,667388.0,10.0,,-185.0,-185.0,-185.0,1.0,0.0,1.0,1670943066176.0,,True,0.0,-185.0,True,,2022-12-08T07:33:30.284989,-11.0,2022-12-13T14:51:18.047865,-11.0,,
si0:ms11:an0,218214441.0,True,667388.0,11.0,,-110.0,-110.0,1.5748,2.0,0.0,1.0,1670944793487.0,,True,,,False,,2022-12-12T02:07:19.310696,-5.0,2022-12-13T15:19:54.098887,-5.0,,
si0:ms17:an0,214475847.0,False,667388.0,17.0,,-182.0,-182.0,1.54945,2.0,0.0,1.0,1670941125180.0,,True,0.0,-182.0,True,,2022-12-09T15:36:37.461632,-2.0,2022-12-13T14:19:01.044568,-2.0,,
si0:ms20:an0,211908731.0,False,667388.0,20.0,,-189.0,-189.0,1.53,2.0,0.0,1.0,1670900282130.0,,True,0.0,-189.0,True,,2022-12-06T22:02:10.778708,-2.0,2022-12-13T02:58:15.249153,-2.0,,
si0:ms21:an0,219756663.0,False,667388.0,21.0,,-182.0,-182.0,-182.0,1.0,0.0,1.0,1670907130698.0,,True,0.0,-182.0,True,,2022-12-13T04:52:14.015699,-16.0,2022-12-13T04:52:14.015699,-16.0,,
si0:ms27:an0,214476430.0,False,667388.0,27.0,,-182.0,-182.0,1.54945,2.0,0.0,1.0,1670941114420.0,,True,0.0,-182.0,True,,2022-12-09T15:37:53.509727,-2.0,2022-12-13T14:18:44.962231,-2.0,,
si0:ms28:an0,218469233.0,False,667388.0,28.0,0.0,-175.0,-175.0,1.57142857142857,2.0,0.0,1.0,1670940788576.0,,True,0.0,-175.0,True,,2022-12-12T16:55:42.249031,-29.0,2022-12-13T14:13:09.313234,-29.0,,
si0:ms31:an0,214474779.0,False,667388.0,31.0,,-190.0,-190.0,-190.0,1.0,0.0,1.0,1670941123793.0,,True,0.0,-190.0,True,,2022-12-09T15:34:27.775525,-11.0,2022-12-13T14:18:45.841766,-11.0,,
si0:ms33:an0,218570290.0,False,667388.0,33.0,,-175.0,-175.0,1.57,2.0,0.0,1.0,1670954011130.0,,True,0.0,-175.0,True,,2022-12-12T19:24:02.694194,-2.0,2022-12-13T17:53:42.129175,-2.0,,
si0:ms49:an0,218077512.0,True,667388.0,49.0,,-110.0,-110.0,0.625468164794008,4.0,0.0,1.0,1670971677329.0,,True,,,False,,2022-12-12T00:35:51.360188,-19.0,2022-12-13T22:47:57.792974,-19.0,,
si0:ms53:an0,218219619.0,False,667388.0,53.0,,-180.0,-180.0,-180.0,1.0,0.0,1.0,1670970077954.0,,True,0.0,-180.0,True,,2022-12-12T02:13:38.184354,-11.0,2022-12-13T22:21:20.085861,-11.0,,
si0:ms54:an0,218219366.0,False,667388.0,54.0,,-180.0,-180.0,-180.0,1.0,0.0,1.0,1670970086937.0,,True,0.0,-180.0,True,,2022-12-12T02:13:09.066748,-11.0,2022-12-13T22:21:28.986236,-11.0,,
si0:ms55:an0,219898403.0,False,667388.0,55.0,,-180.0,-180.0,-180.0,1.0,0.0,1.0,1670942958037.0,,True,0.0,-180.0,True,,2022-12-13T14:49:20.108418,-11.0,2022-12-13T14:49:20.108418,-11.0,,
si0:ms56:an0,213850354.0,False,667388.0,56.0,,-190.0,-190.0,-190.0,1.0,0.0,1.0,1670853971509.0,,True,0.0,-190.0,True,,2022-12-08T13:56:57.835774,-11.0,2022-12-12T14:06:24.13451,-11.0,,
si0:ms59:an0,218400184.0,False,667388.0,59.0,0.0,-180.0,-180.0,-180.0,1.0,0.0,1.0,1670872059201.0,,True,0.0,-180.0,True,,2022-12-12T14:10:34.450555,-42.0,2022-12-12T19:07:44.024929,-42.0,,
si0:ms60:an0,218317002.0,False,667388.0,60.0,,-175.0,-175.0,1.57,2.0,0.0,1.0,1670972605020.0,,True,0.0,-175.0,True,,2022-12-12T06:10:04.48306,-45.0,2022-12-13T23:03:26.341444,-45.0,,
si0:ms66:an0,218187967.0,False,667388.0,66.0,0.0,-180.0,-180.0,-180.0,1.0,0.0,1.0,1670987932616.0,,True,0.0,-180.0,True,,2022-12-12T01:40:04.608913,-62.0,2022-12-14T03:18:53.130608,-62.0,,
si0:ms67:an0,218395892.0,False,667388.0,67.0,,-174.0,-174.0,635000.0,5.0,0.0,1.0,1670973392257.0,,True,0.0,-174.0,True,,2022-12-12T14:00:13.320879,-65.0,2022-12-13T23:16:32.987497,-65.0,,
si0:ms61:an0,,,,,,,,,,,,,,,,,,,,,,,,
si0:ms62:an0,,,,,,,,,,,,,,,,,,,,,,,,
si0:ms52:an0,218307506.0,False,667388.0,52.0,,-175.0,-175.0,-175.0,1.0,0.0,1.0,1670972321374.0,,True,0.0,-175.0,False,,2022-12-12T04:54:38.400897,-11.0,2022-12-13T22:59:05.895444,-11.0,,
si1:ms52:an0,218307505.0,False,667387.0,52.0,,160.0,160.0,160.0,1.0,0.0,1.0,1670972321374.0,,True,0.0,160.0,False,,2022-12-12T04:54:38.377187,-11.0,2022-12-13T22:59:05.882182,-11.0,,
